"Antigo","Atual","Quando","Local de Uso","Motivo Específico","Quando Não Usar Nenhuma"
"==","===","Para comparações rigorosas em JavaScript","Comparações rigorosas","Evitar erros de tipo nas comparações em JavaScript","Quando não há necessidade de comparações rigorosas"
"alert()","Custom modal dialogs","Para melhorar a usabilidade e a experiência do usuário","Mensagens e interações de usuário","Melhorar a experiência do usuário com interfaces modernas","Quando não há necessidade de mensagens ou interações de usuário"
"arr.concat(arr2);","const merged = [...arr, ...arr2];","Para mesclar arrays","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de mesclar arrays"
"arr.filter(Boolean);","arr.filter(el => el);","Para remover valores falsy de arrays","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de remover valores falsy"
"arr.map(el => el * 2);","arr.map(el => el * 2).filter(el => el > 2);","Para transformar e filtrar arrays","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de transformar e filtrar arrays"
"arr[-1];","arr.at(-1);","Para acessar elementos de arrays com índices negativos","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de acessar elementos de arrays com índices negativos"
"array.flat();","const flatArray = array.flat();","Para aplanar arrays aninhados","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de aplanar arrays"
"array.flatMap(x => [x * 2]);","const flatMappedArray = array.flatMap(x => [x, x * 2]);","Para transformar e aplanar arrays","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de transformar e aplanar arrays"
"Array.prototype.concat","Spread operator (...)","Para combinar arrays de forma mais eficiente e legível","Combinar objetos e arrays","Sintaxe mais concisa e legível para combinar objetos e arrays","Quando não há necessidade de combinar arrays"
"Array.prototype.findIndex","Array.prototype.find","Para encontrar o primeiro item que satisfaça uma condição de forma mais eficiente e legível","Encontrar item em um array","Forma mais eficiente e legível de encontrar o primeiro item que satisfaça uma condição","Quando não há necessidade de encontrar itens em um array"
"Array.prototype.map","Array.from","Para criar arrays a partir de objetos iteráveis ou pseudo-arrays","Criação de arrays a partir de objetos iteráveis","Melhor suporte a objetos pseudo-arrays e iteráveis","Quando não há necessidade de criar arrays a partir de objetos iteráveis"
"Array.prototype.reduce para somar valores","Array.prototype.reduce com arrow function","Para melhorar a clareza e concisão ao usar a função de redução","Soma de valores em arrays","Forma mais clara e concisa de usar a função de redução","Quando não há necessidade de somar valores em arrays"
"Array.prototype.splice para remover itens","Array.prototype.filter","Para remover itens de um array de forma mais clara e imutável","Remover itens de um array","Forma mais clara e imutável de remover itens de um array","Quando não há necessidade de remover itens de um array"
"Atomics.wait(typedArray, index, value);","Atomics.waitSync(typedArray, index, value);","Para operações de espera síncrona em ambientes de multithreading","Sincronização de threads","Melhor controle sobre a sincronização","Quando não há necessidade de sincronização de threads"
"Callback hell","Promises ou async/await","Para evitar aninhamento excessivo de callbacks e melhorar a legibilidade do código","Operações assíncronas complexas","Melhor legibilidade e manejo de fluxos assíncronos","Quando não há operações assíncronas a serem realizadas"
"Callbacks","Promises ou async/await","Para lidar com operações assíncronas de forma mais legível e gerenciável","Operações assíncronas complexas","Melhor legibilidade e manejo de fluxos assíncronos","Quando não há operações assíncronas a serem realizadas"
"class MyClass { constructor() { this.myField = 'value'; } }","class MyClass { myField = 'value'; }","Para definir campos de classe de forma mais concisa","Declaração de classes","Sintaxe mais clara e eficiente","Quando não há necessidade de definir campos de classe"
"class MyClass { constructor() { this.myField = 'value'; } }","class MyClass { static myField = 'value'; }","Para definir campos estáticos de classe","Declaração de classes","Melhor organização e acessibilidade de dados estáticos","Quando não há necessidade de definir campos estáticos"
"console.log","Logging frameworks","Para um logging mais robusto e gerenciável em produção","Aplicações em produção","Logging mais robusto e gerenciável","Quando não há necessidade de logging em produção"
"const arr = [1, 2, 3]; const newArr = arr.map(x => x * 2);","const newArr = arr.flatMap(x => [x, x * 2]);","Para manipular arrays de forma eficiente","Manipulação de arrays","Sintaxe mais eficiente e legível","Quando não há necessidade de manipular arrays"
"const arr = [1, 2, 3]; const newArr = arr.map(x => x * 2);","const newArr = arr.flatMap(x => [x, x * 2]);","Para transformar e aplanar arrays","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de transformar e aplanar arrays"
"const bigInt = BigInt(1234567890);","const bigInt = 1234567890n;","Para criar BigInts","Manipulação de números grandes","Sintaxe mais clara e eficiente","Quando não há necessidade de manipular números grandes"
"const data = { name: 'Alice', age: 25 }; const name = data.name; const age = data.age;","const { name, age } = data;","Para extrair valores de objetos de forma concisa","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de extrair valores"
"const entries = Object.keys(obj).map(key => [key, obj[key]]);","const entries = Object.entries(obj);","Para obter pares chave-valor de um objeto","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de obter pares chave-valor de objetos"
"const global = Function('return this')();","globalThis;","Para acessar o objeto global","Manipulação de escopo global","Sintaxe mais clara e eficiente","Quando não há necessidade de acessar o objeto global"
"const merged = Object.assign({}, obj1, obj2);","const merged = { ...obj1, ...obj2 };","Para mesclar objetos","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de mesclar objetos"
"const name = person.name; const age = person.age;","const { name, age } = person;","Para desestruturar objetos","Desestruturação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de desestruturar objetos"
"const newArr = []; arr.forEach(item => newArr.push(item * 2));","const newArr = arr.map(item => item * 2);","Para transformar elementos de um array","Transformação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de transformar arrays"
"const newObj = Object.assign({}, obj1, obj2);","const newObj = { ...obj1, ...obj2 };","Para clonar ou combinar objetos de forma eficiente","Manipulação de objetos, especialmente em funções de utilidade","Sintaxe mais clara e eficiente","Quando não há necessidade de clonar ou combinar objetos"
"const now = new Date();","const now = Temporal.Now.plainDateTimeISO();","Para manipulação moderna de datas e horas","Manipulação de datas e horas","API mais robusta e coerente","Quando não há necessidade de manipulação de datas e horas"
"const numbers = [1, 2, 3]; const reversed = numbers.reverse();","const reversed = numbers.toReversed();","Para reverter arrays sem modificar o original","Manipulação de arrays","Evitar mutação do array original","Quando não há necessidade de reverter arrays"
"const obj = Object.assign({}, a, b);","const obj = { ...a, ...b };","Para mesclar objetos","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de mesclar objetos"
"const obj = { a: 1, b: 2 }; const copy = Object.assign({}, obj);","const copy = { ...obj };","Para copiar propriedades de objetos","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de copiar objetos"
"const obj = {}; if (!obj.prop) { obj.prop = 'default'; }","obj.prop","","= 'default';","Para atribuir valores padrão","Atribuição de valores"
"const obj = {}; if (obj.a) { obj.a(); }","obj.a?.();","Para evitar erros de acesso a propriedades","Manipulação de objetos","Sintaxe mais clara e segura","Quando não há necessidade de acessar propriedades"
"const path = 'C:\\path\\to\\file';","const path = String.rawC:\\path\\to\\file;","Para evitar processamento de escape sequences","Strings de caminho de arquivo, regex complexas","Evita erros de escape e melhora a legibilidade","Quando não há necessidade de strings não processadas"
"const regex = /[a-zA-Z]/;","const regex = /\p{L}/u;","Para correspondência de caracteres com propriedades Unicode","Manipulação de strings","Aumenta a precisão na correspondência de padrões","Quando não há necessidade de correspondência de padrões complexos"
"const regex = new RegExp('pattern', 'flags');","const regex = /pattern/flags;","Para buscas avançadas em strings e correspondências complexas","Processamento de strings, validação de entradas","Poderoso e flexível para correspondência de padrões","Quando simples correspondências de padrões são suficientes"
"const response = await fetch(url); const data = await response.json();","const data = await fetch(url).then(response => response.json());","Para simplificar chamadas de API assíncronas","Requisições HTTP assíncronas","Sintaxe mais clara e eficiente","Quando não há necessidade de fazer requisições HTTP"
"const str = ' Hello World '; str.trim();","str.trimStart(); str.trimEnd();","Para remover espaços em branco do início e do fim de strings","Manipulação de strings","Sintaxe mais clara e eficiente","Quando não há necessidade de remover espaços em branco"
"const str = '\uD800'; const isWellFormed = /^[^\uD800-\uDFFF]$/u.test(str);","const isWellFormed = str.isWellFormed();","Para verificar se uma string está bem formada","Manipulação de strings","Sintaxe mais clara e eficiente","Quando não há necessidade de verificar strings"
"const str = 'abc'; const regex = /a/; const result = str.match(regex);","const result = 'abc'.match(/a/);","Para simplificar a busca de padrões em strings","Manipulação de strings","Sintaxe mais clara e eficiente","Quando não há necessidade de buscar padrões"
"const str = 'hello'; const chars = str.split('');","const chars = [...str];","Para dividir uma string em caracteres","Manipulação de strings","Sintaxe mais clara e eficiente","Quando não há necessidade de dividir strings em caracteres"
"const sym = Symbol('description');","const sym = Symbol.for('description');","Para compartilhar símbolos entre diferentes partes do código","Manipulação de símbolos","Reutilização de símbolos","Quando não há necessidade de compartilhar símbolos"
"const val = a","","b;","const val = a ?? b;","Para atribuir valores padrão","Atribuição de valores"
"const value = (obj && obj.value)","","'default';","const value = obj?.value ?? 'default';","Para atribuir valores padrão de forma mais segura","Atribuição de valores"
"const values = Object.keys(obj).map(key => obj[key]);","const values = Object.values(obj);","Para obter valores de um objeto","Manipulação de objetos","Sintaxe mais clara e eficiente","Quando não há necessidade de obter valores de objetos"
"const x = Math.max(a, b, c);","const x = Math.max(...[a, b, c]);","Para encontrar o valor máximo em um array","Manipulação de arrays","Sintaxe mais clara e eficiente","Quando não há necessidade de encontrar o valor máximo"
"document.body.scrollTop","window.scrollY","Para obter a posição de rolagem vertical de forma mais precisa e moderna","Obter posição de rolagem vertical","Forma mais precisa e moderna de obter a posição de rolagem vertical","Quando não há necessidade de obter a posição de rolagem vertical"
